,state,eyes,rowcount,statecount,pct
0,New Jersey,Brown,4,6,0.6666666666666666
1,New Jersey,Hazel,2,6,0.3333333333333333
2,New York, Brown,1,25,0.04
3,New York,Blue,3,25,0.12
4,New York,Brown,17,25,0.68
5,New York,Green,1,25,0.04
6,New York,Hazel,2,25,0.08
7,New York,Other,1,25,0.04
8,Texas, Blue,1,560,0.0017857142857142857
9,Texas,Blue,154,560,0.275
10,Texas,Brown,204,560,0.36428571428571427
11,Texas,Green,52,560,0.09285714285714286
12,Texas,Grey,15,560,0.026785714285714284
13,Texas,Hazel,116,560,0.20714285714285716
14,Texas,Other,16,560,0.02857142857142857
