,state,pets,rowcount,statecount,pct
0,New Jersey,Dog,1,6,0.16666666666666666
1,New Jersey,No Pets,5,6,0.8333333333333334
2,New York,Cat,1,25,0.04
3,New York,Cat & Dog,1,25,0.04
4,New York,Dog,5,25,0.2
5,New York,No Pets,18,25,0.72
6,Texas, No Pets,1,560,0.0017857142857142857
7,Texas,Birds,10,560,0.017857142857142856
8,Texas,Cat,64,560,0.11428571428571428
9,Texas,Cat & Dog,34,560,0.060714285714285714
10,Texas,Dog,158,560,0.28214285714285714
11,Texas,No Pets,271,560,0.48392857142857143
12,Texas,Other,22,560,0.039285714285714285
